date,close
2020-10-30,2200
2020-11-02,2250
2020-11-03,2230
2020-11-04,2230
2020-11-05,2230
2020-11-06,2250
2020-11-09,2250
2020-11-10,2250
2020-11-11,2240
2020-11-12,2220
2020-11-13,2240
2020-11-16,2220
2020-11-17,2220
2020-11-18,2220
2020-11-19,2200
2020-11-20,2210
2020-11-23,2200
2020-11-24,2200
2020-11-25,2180
2020-11-26,2180
2020-11-27,2190
2020-11-30,2180
2020-12-01,2160
2020-12-02,2160
2020-12-03,2220
2020-12-04,2210
2020-12-07,2220
2020-12-08,2200
2020-12-09,2200
2020-12-10,2180
2020-12-11,2170
2020-12-14,2180
2020-12-15,2180
2020-12-16,2210
2020-12-17,2200
2020-12-18,2200
2020-12-21,2190
2020-12-22,2340
2020-12-23,2500
2020-12-24,2500
2020-12-25,2460
2020-12-28,2450
2020-12-29,2430
2020-12-30,2500
2020-12-31,2530
2021-01-04,2540
2021-01-05,2490
2021-01-06,2440
2021-01-07,2510
2021-01-08,2520
2021-01-11,2690
2021-01-12,2870
2021-01-13,3070
2021-01-14,3280
2021-01-15,3500
2021-01-18,3740
2021-01-19,3640
2021-01-20,3740
2021-01-21,4000
2021-01-22,4280
2021-01-25,4570
2021-01-26,4880
2021-01-27,5170
2021-01-28,4810
2021-01-29,4480
2021-02-01,4170
2021-02-02,3880
2021-02-03,3610
2021-02-04,3860
2021-02-05,3920
2021-02-08,3650
2021-02-09,3500
2021-02-17,3740
2021-02-18,3670
2021-02-19,3570
2021-02-22,3570
2021-02-23,3540
2021-02-24,3470
2021-02-25,3490
2021-02-26,3400
2021-03-01,3420
2021-03-02,3430
2021-03-03,3550
2021-03-04,3450
2021-03-05,3470
2021-03-08,3530
2021-03-09,3560
2021-03-10,3550
2021-03-11,3500
2021-03-12,3630
2021-03-15,3880
2021-03-16,4100
2021-03-17,3870
2021-03-18,3820
2021-03-19,4020
2021-03-22,4300
2021-03-23,4450
2021-03-24,4280
2021-03-25,4180
2021-03-26,4160
2021-03-29,4450
2021-03-30,4760
2021-03-31,4820
2021-04-01,4530
2021-04-02,4710
2021-04-05,4900
2021-04-06,4950
2021-04-07,5030
2021-04-08,5290
2021-04-09,5660
2021-04-12,6050
2021-04-13,6300
2021-04-14,6740
2021-04-15,7210
2021-04-16,7710
2021-04-19,7350
2021-04-20,7860
2021-04-22,7850
2021-04-23,7700
2021-04-26,7170
2021-04-27,6670
2021-04-28,6470
2021-04-29,6440
2021-05-04,6000
2021-05-05,6420
2021-05-06,6570
2021-05-07,6200
2021-05-10,6150
2021-05-11,6580
2021-05-12,7040
2021-05-13,7300
2021-05-14,7550
2021-05-17,7560
2021-05-18,7070
2021-05-19,7270
2021-05-20,6810
2021-05-21,6850
2021-05-24,6880
2021-05-25,6610
2021-05-26,6420
2021-05-27,6250
2021-05-28,6680
2021-05-31,6530
2021-06-01,6540
2021-06-02,6820
2021-06-03,7240
2021-06-04,7000
2021-06-07,6700
2021-06-08,6510
2021-06-09,6670
2021-06-10,6620
2021-06-11,6710
2021-06-14,6580
2021-06-15,6540
2021-06-16,6710
2021-06-17,7170
2021-06-18,7000
2021-06-21,6800
2021-06-22,6860
2021-06-23,6780
2021-06-24,6740
2021-06-25,6700
2021-06-28,6670
2021-06-29,6570
2021-06-30,6550
2021-07-01,6500
2021-07-02,6370
2021-07-05,6150
2021-07-06,5990
2021-07-07,5580
2021-07-08,5580
2021-07-09,5190
2021-07-12,4830
2021-07-13,5160
2021-07-14,5350
2021-07-15,5260
2021-07-16,5030
2021-07-19,4680
2021-07-20,5000
2021-07-21,4900
2021-07-22,5000
2021-07-23,4860
2021-07-26,4840
2021-07-27,4980
2021-07-28,4930
2021-07-29,4970
2021-07-30,4970
2021-08-02,5030
2021-08-03,5200
2021-08-04,5420
2021-08-05,5450
2021-08-06,5370
2021-08-09,5350
2021-08-10,5380
2021-08-11,5380
2021-08-12,5400
2021-08-13,5300
2021-08-16,5290
2021-08-17,5290
2021-08-18,5210
2021-08-19,5100
2021-08-20,4950
2021-08-23,4900
2021-08-24,4850
2021-08-25,4820
2021-08-26,4820
2021-08-27,4800
2021-08-30,4930
2021-08-31,4970
2021-09-01,4960
2021-09-06,5300
2021-09-07,5020
2021-09-08,5030
2021-09-09,5080
2021-09-10,5090
2021-09-13,5070
2021-09-14,5220
2021-09-15,5280
2021-09-16,5210
2021-09-17,5220
2021-09-20,5350
2021-09-21,5330
2021-09-22,5700
2021-09-23,5500
2021-09-24,5610
2021-09-27,5300
2021-09-28,5310
2021-09-29,5220
2021-09-30,5250
2021-10-01,5230
2021-10-04,5490
2021-10-05,5330
2021-10-06,5390
2021-10-07,5430
2021-10-08,5530
2021-10-11,5750
2021-10-12,5680
2021-10-13,5540
2021-10-14,5580
2021-10-15,5500
2021-10-18,5440
2021-10-19,5480
2021-10-20,5480
2021-10-21,5660
2021-10-22,5590
2021-10-25,5520
2021-10-26,5610
2021-10-27,5610
2021-10-28,5630
2021-10-29,5600
2021-11-01,5790
2021-11-02,5920
2021-11-03,5800
2021-11-04,5830
2021-11-05,6130
2021-11-08,6550
2021-11-09,6400
